nodes,type
3865413,slack
42004,transit
2578246,transit
2578258,transit
2578274,transit
41994,transit
2578344,transit
2578328,transit
2537563,transit
42364,transit
2578310,transit
2578290,transit
41995,transit
42006,transit
3225820,transit
3225835,transit
42008,transit
3615358,transit
3225825,transit
2539098,transit
3225829,transit
42010,transit
2578279,transit
2537572,transit
1639203,transit
42011,transit
42312,transit
42347,transit
2539103,transit
2539033,transit
0,load
15140001,load
15139801,load
15117201,load
15164301,load
15164201,load
9081102,load
9081101,load
4276801,load
15117101,load
100286435,load
37780401,load
